LEADID,Last Name,Company,Lead Owner Id,Lead Owner,Email,Mobile,Website,Industry,Lead Source,Lead Status,Created Time,CONVERTED
1448,Simon,D S Horseshoeing Tools,1005,Steffi Graf,simon@samplecompany.com,(800) - 456 - 1448,,Manufacturing,Advertisement,Contact in Future,"23 Aug, 2010 00:00:00",
1449,Martyn,Napoleon Manufacturing Inc,1009,Thomas Mondrake,martyn@samplecompany.com,(800) - 456 - 1449,,Consulting,Employee Referral,Contacted,"23 Aug, 2010 00:00:00",
1475,Marie,Western Extrusions Corporation,1009,Thomas Mondrake,marie@samplecompany.com,(800) - 456 - 1475,,Consulting,OnlineStore,Contact in Future,"13 Aug, 2010 00:00:00",
1476,Peter,Grant Industries Inc,1011,Tina Thomas,peter@samplecompany.com,(800) - 456 - 1476,,Financial Services,Web Research,Contacted,"13 Aug, 2010 00:00:00",
1477,Thomas,The Jorgensen Forge Corporation,1003,Lazar Mathew,thomas@samplecompany.com,(800) - 456 - 1477,,Technology,Partner,Junk Lead,"13 Aug, 2010 00:00:00",
1478,Ann,American Extrusions,1002,Santa Cruz Clara,ann@samplecompany.com,(800) - 456 - 1478,,Financial Services,Public Relations,Attempted to Contact,"13 Aug, 2010 00:00:00",
1479,Helen,Afri-Tech S.A.,1006,Harold Pawlan,helen@samplecompany.com,(800) - 456 - 1479,,Education,Sales Mail Alias,Pre Qualified,"08 Aug, 2010 00:00:00",
1480,Miguel,Arco Aluminum,1003,Lazar Mathew,miguel@samplecompany.com,(800) - 456 - 1480,,Government/Military,Trade Show,Lost Lead,"08 Aug, 2010 00:00:00",
1481,Daniel,"Taber Extrusions, L.P.",1008,Roger Terrence,daniel@samplecompany.com,(800) - 456 - 1481,,Consulting,Partner,Contacted,"08 Aug, 2010 00:00:00",
1482,Horst,Linn Products Inc.,1002,Santa Cruz Clara,horst@samplecompany.com,(800) - 456 - 1482,,Service Provider,Partner,Not Contacted,"08 Aug, 2010 00:00:00",
1483,Martyn,"G.I.A., S.L.",1003,Lazar Mathew,martyn@samplecompany.com,(800) - 456 - 1483,,Technology,External Referral,Pre Qualified,"08 Aug, 2010 00:00:00",
1484,Antonio,Ormet Corporation,1008,Roger Terrence,antonio@samplecompany.com,(800) - 456 - 1484,,Government/Military,OnlineStore,Contact in Future,"08 Aug, 2010 00:00:00",
1485,Yoshi,Digger Anchor Inc,1003,Lazar Mathew,yoshi@samplecompany.com,(800) - 456 - 1485,,Education,Partner,Contacted,"08 Aug, 2010 00:00:00",
1486,Georg,Enterprise Tool & Gear,1003,Lazar Mathew,georg@samplecompany.com,(800) - 456 - 1486,,Manufacturing,Trade Show,Junk Lead,"08 Aug, 2010 00:00:00",
1487,Isabel,Rockford Drop Forge Co,1010,Augustine Paul,isabel@samplecompany.com,(800) - 456 - 1487,,IT Services,Partner,Attempted to Contact,"08 Aug, 2010 00:00:00",
1488,Maria,Ski-Way Machine Products Co,1010,Augustine Paul,maria@samplecompany.com,(800) - 456 - 1488,,Manufacturing,Employee Referral,Pre Qualified,"08 Aug, 2010 00:00:00",
1489,Miguel,Unit Drop Forge Co Inc,1011,Tina Thomas,miguel@samplecompany.com,(800) - 456 - 1489,,Education,External Referral,Contact in Future,"08 Aug, 2010 00:00:00",
1490,Maurizio,GKN Sinter Metals,1011,Tina Thomas,maurizio@samplecompany.com,(800) - 456 - 1490,,Financial Services,Web Research,Contacted,"08 Aug, 2010 00:00:00",
1491,Roland,SMS Meer,1003,Lazar Mathew,roland@samplecompany.com,(800) - 456 - 1491,,Pharma,Advertisement,Not Contacted,"08 Aug, 2010 00:00:00",
1492,Jose,Gelock Heavy Hovers,1010,Augustine Paul,jose@samplecompany.com,(800) - 456 - 1492,,IT Services,External Referral,Pre Qualified,"08 Aug, 2010 00:00:00",
1517,Francisco,Alumax Primary Aluminum,1003,Lazar Mathew,francisco@samplecompany.com,(800) - 456 - 1517,,Pharma,Sales Mail Alias,Contacted,"24 Jul, 2010 00:00:00",
1518,Fran,Quality Bar,1005,Steffi Graf,fran@samplecompany.com,(800) - 456 - 1518,,IT Services,Employee Referral,Not Contacted,"24 Jul, 2010 00:00:00",
1519,Martyn,Boxx Gear Manufacturing Inc,1008,Roger Terrence,martyn@samplecompany.com,(800) - 456 - 1519,,Consulting,Partner,Pre Qualified,"24 Jul, 2010 00:00:00",
1520,Peter,Computer Operated Manufacturing Inc,1002,Santa Cruz Clara,peter@samplecompany.com,(800) - 456 - 1520,,Communications,OnlineStore,Contacted,"24 Jul, 2010 00:00:00",
1521,Jonas,Jer-Co Industries Inc,1004,Pete Zachriah,jonas@samplecompany.com,(800) - 456 - 1521,,Education,Public Relations,Junk Lead,"24 Jul, 2010 00:00:00",
1522,Carine,Schrock's Horse Shoe Dressing,1006,Harold Pawlan,carine@samplecompany.com,(800) - 456 - 1522,,Communications,OnlineStore,Attempted to Contact,"24 Jul, 2010 00:00:00",
1523,Guillermo,Sapa Anodizing Inc.,1009,Thomas Mondrake,guillermo@samplecompany.com,(800) - 456 - 1523,,Technology,Sales Mail Alias,Pre Qualified,"22 Jul, 2010 00:00:00",
1524,Peter,Avon Gear & Engineering Co,1005,Steffi Graf,peter@samplecompany.com,(800) - 456 - 1524,,Financial Services,Public Relations,Contact in Future,"22 Jul, 2010 00:00:00",
1525,Michael,Colfor Manufacturing Inc,1005,Steffi Graf,michael@samplecompany.com,(800) - 456 - 1525,,Service Provider,Sales Mail Alias,Lost Lead,"22 Jul, 2010 00:00:00",
1526,Francisco,Cooling Towers Inc,1004,Pete Zachriah,francisco@samplecompany.com,(800) - 456 - 1526,,Technology,Partner,Contacted,"22 Jul, 2010 00:00:00",
1527,Isabel,Electrol Manufacturing Co,1003,Lazar Mathew,isabel@samplecompany.com,(800) - 456 - 1527,,Government/Military,Employee Referral,Not Contacted,"22 Jul, 2010 00:00:00",
1528,Art,MC2 Precision Forgings Inc,1002,Santa Cruz Clara,art@samplecompany.com,(800) - 456 - 1528,,Communications,Advertisement,Pre Qualified,"22 Jul, 2010 00:00:00",
1529,Yoshi,Productigear Inc,1006,Harold Pawlan,yoshi@samplecompany.com,(800) - 456 - 1529,,Communications,Partner,Contact in Future,"22 Jul, 2010 00:00:00",
1530,Liz,Zim Manufacturing Co,1001,Rozario Diego,liz@samplecompany.com,(800) - 456 - 1530,,IT Services,Employee Referral,Junk Lead,"22 Jul, 2010 00:00:00",
1531,Catherine,Northstar Equipment,1002,Santa Cruz Clara,catherine@samplecompany.com,(800) - 456 - 1531,,Pharma,Advertisement,Attempted to Contact,"22 Jul, 2010 00:00:00",
1532,Rita,MI Metals Inc.,1004,Pete Zachriah,rita@samplecompany.com,(800) - 456 - 1532,,Consulting,Partner,Pre Qualified,"22 Jul, 2010 00:00:00",
1533,Eduardo,Nucor Research & Development,1003,Lazar Mathew,eduardo@samplecompany.com,(800) - 456 - 1533,,Communications,Advertisement,Contact in Future,"22 Jul, 2010 00:00:00",
1534,Simon,Jordon Company,1005,Steffi Graf,simon@samplecompany.com,(800) - 456 - 1534,,Education,OnlineStore,Lost Lead,"20 Jul, 2010 00:00:00",
1535,Isabel,Alcoa Export Supply Division,1009,Thomas Mondrake,isabel@samplecompany.com,(800) - 456 - 1535,,Financial Services,Sales Mail Alias,Contacted,"20 Jul, 2010 00:00:00",
1536,Maria,Despatch Industries,1001,Rozario Diego,maria@samplecompany.com,(800) - 456 - 1536,,Consulting,Cold Call,Not Contacted,"20 Jul, 2010 00:00:00",
1537,Karl,Pacific Metal Company,1004,Pete Zachriah,karl@samplecompany.com,(800) - 456 - 1537,,Pharma,Cold Call,Pre Qualified,"20 Jul, 2010 00:00:00",
1538,Simon,Furukawa Electric Tech.,1003,Lazar Mathew,simon@samplecompany.com,(800) - 456 - 1538,,Communications,Web Research,Contact in Future,"20 Jul, 2010 00:00:00",
1539,Anabela,Delphi,1001,Rozario Diego,anabela@samplecompany.com,(800) - 456 - 1539,,Government/Military,Public Relations,Contacted,"20 Jul, 2010 00:00:00",
1540,Antonio,H-R International Inc.,1005,Steffi Graf,antonio@samplecompany.com,(800) - 456 - 1540,,IT Services,Trade Show,Attempted to Contact,"20 Jul, 2010 00:00:00",
1541,Horst,Mr. S. Bendeck,1006,Harold Pawlan,horst@samplecompany.com,(800) - 456 - 1541,,Government/Military,Sales Mail Alias,Pre Qualified,"20 Jul, 2010 00:00:00",
1542,Lino,Fintube Limited Partnership,1010,Augustine Paul,lino@samplecompany.com,(800) - 456 - 1542,,Financial Services,External Referral,Contact in Future,"20 Jul, 2010 00:00:00",
1543,Laurence,Nucor / CSN,1007,David Love,laurence@samplecompany.com,(800) - 456 - 1543,,Government/Military,Employee Referral,Lost Lead,"20 Jul, 2010 00:00:00",
1544,Jytte,Acme Gear Co Inc,1002,Santa Cruz Clara,jytte@samplecompany.com,(800) - 456 - 1544,,Communications,Partner,Contacted,"20 Jul, 2010 00:00:00",
1545,Bob,Biltron Automotive Products,1002,Santa Cruz Clara,bob@samplecompany.com,(800) - 456 - 1545,,Manufacturing,Sales Mail Alias,Not Contacted,"20 Jul, 2010 00:00:00",
1546,Andre,Comtech/SPX Corporation,1004,Pete Zachriah,andre@samplecompany.com,(800) - 456 - 1546,,Manufacturing,Trade Show,Pre Qualified,"20 Jul, 2010 00:00:00",
1547,Paolo,Iron Works USA,1002,Santa Cruz Clara,paolo@samplecompany.com,(800) - 456 - 1547,,Financial Services,Web Research,Contact in Future,"20 Jul, 2010 00:00:00",
1548,Liu,J & E Machine Shop Inc,1010,Augustine Paul,liu@samplecompany.com,(800) - 456 - 1548,,IT Services,Employee Referral,Contacted,"20 Jul, 2010 00:00:00",
1549,Sergio,Southeast Chain & Specialty,1002,Santa Cruz Clara,sergio@samplecompany.com,(800) - 456 - 1549,,Financial Services,OnlineStore,Junk Lead,"20 Jul, 2010 00:00:00",
1550,Paula,Wodin Inc,1006,Harold Pawlan,paula@samplecompany.com,(800) - 456 - 1550,,Financial Services,OnlineStore,Pre Qualified,"20 Jul, 2010 00:00:00",
1551,Maria,Crosby Group - Lebus Mfg. Company,1001,Rozario Diego,maria@samplecompany.com,(800) - 456 - 1551,,Manufacturing,Public Relations,Contact in Future,"20 Jul, 2010 00:00:00",
1552,Ana,Modern Metals,1001,Rozario Diego,ana@samplecompany.com,(800) - 456 - 1552,,Education,Sales Mail Alias,Lost Lead,"13 Jul, 2010 00:00:00",
1553,Rita,Stuller Inc.,1002,Santa Cruz Clara,rita@samplecompany.com,(800) - 456 - 1553,,Financial Services,Cold Call,Contacted,"13 Jul, 2010 00:00:00",
1554,Steve,Edgewater Machine & Fabricators Inc,1007,David Love,steve@samplecompany.com,(800) - 456 - 1554,,Government/Military,Advertisement,Not Contacted,"13 Jul, 2010 00:00:00",
1555,Pedro,Foot Jones IL Gear,1001,Rozario Diego,pedro@samplecompany.com,(800) - 456 - 1555,,Education,Web Research,Pre Qualified,"13 Jul, 2010 00:00:00",
1591,Anabela,Melinz One Inc,1006,Harold Pawlan,anabela@samplecompany.com,(800) - 456 - 1591,,Technology,External Referral,Pre Qualified,"23 Jun, 2010 00:00:00",
1592,Ana,Sandell Manufacturing Co Inc,1006,Harold Pawlan,ana@samplecompany.com,(800) - 456 - 1592,,Service Provider,Cold Call,Contact in Future,"23 Jun, 2010 00:00:00",
1593,Palle,Snow & Stars Corp,1001,Rozario Diego,palle@samplecompany.com,(800) - 456 - 1593,,Manufacturing,Partner,Contacted,"23 Jun, 2010 00:00:00",
1594,Yoshi,Springdale Machine & Gear Inc,1009,Thomas Mondrake,yoshi@samplecompany.com,(800) - 456 - 1594,,IT Services,Advertisement,Junk Lead,"23 Jun, 2010 00:00:00",
1595,Manuel,Valley Forge Inc,1007,David Love,manuel@samplecompany.com,(800) - 456 - 1595,,Pharma,Employee Referral,Attempted to Contact,"23 Jun, 2010 00:00:00",
1596,Miguel,Vulcan Forge & Machine Co,1004,Pete Zachriah,miguel@samplecompany.com,(800) - 456 - 1596,,Communications,Partner,Pre Qualified,"23 Jun, 2010 00:00:00",
1597,Catherine,Col-Fin Specialty Steel Corporation,1009,Thomas Mondrake,catherine@samplecompany.com,(800) - 456 - 1597,,IT Services,Web Research,Contact in Future,"23 Jun, 2010 00:00:00",
1578,Elizabeth,Dant Clayton Corporation,1008,Roger Terrence,elizabeth@samplecompany.com,(800) - 456 - 1578,,Consulting,Public Relations,Pre Qualified,"23 Jun, 2010 00:00:00",
1579,Paula,Aluminum Extrusion Shapes,1001,Rozario Diego,paula@samplecompany.com,(800) - 456 - 1579,,Government/Military,Trade Show,Contact in Future,"23 Jun, 2010 00:00:00",
1580,Janete,Inductoheat Inc.,1009,Thomas Mondrake,janete@samplecompany.com,(800) - 456 - 1580,,Consulting,Cold Call,Contacted,"23 Jun, 2010 00:00:00",
1581,Thomas,InterProject Corp.,1001,Rozario Diego,thomas@samplecompany.com,(800) - 456 - 1581,,Technology,Advertisement,Not Contacted,"23 Jun, 2010 00:00:00",
1582,Matti,Light Metal Age,1009,Thomas Mondrake,matti@samplecompany.com,(800) - 456 - 1582,,Communications,Partner,Pre Qualified,"23 Jun, 2010 00:00:00",
1583,Carlos,Dean Patchett,1002,Santa Cruz Clara,carlos@samplecompany.com,(800) - 456 - 1583,,IT Services,External Referral,Contact in Future,"23 Jun, 2010 00:00:00",
1584,Yang,GKN Precision Forming Inc.,1009,Thomas Mondrake,yang@samplecompany.com,(800) - 456 - 1584,,IT Services,Partner,Contacted,"23 Jun, 2010 00:00:00",
1585,Steve,Federal Manufacturing Corp,1010,Augustine Paul,steve@samplecompany.com,(800) - 456 - 1585,,IT Services,Advertisement,Junk Lead,"23 Jun, 2010 00:00:00",
1586,Dominique,Forge Precision Co,1003,Lazar Mathew,dominique@samplecompany.com,(800) - 456 - 1586,,Pharma,Web Research,Attempted to Contact,"23 Jun, 2010 00:00:00",
1587,Eduardo,Keller Machine Co,1009,Thomas Mondrake,eduardo@samplecompany.com,(800) - 456 - 1587,,Consulting,External Referral,Pre Qualified,"23 Jun, 2010 00:00:00",
1588,Janine,Key Machine Tool Inc,1002,Santa Cruz Clara,janine@samplecompany.com,(800) - 456 - 1588,,Service Provider,Trade Show,Contact in Future,"23 Jun, 2010 00:00:00",
1589,Philip,Lab Threads & Gear Works Inc,1003,Lazar Mathew,philip@samplecompany.com,(800) - 456 - 1589,,Government/Military,Cold Call,Lost Lead,"23 Jun, 2010 00:00:00",
1590,Fredrique,Master Manufacturing Co Inc,1008,Roger Terrence,fredrique@samplecompany.com,(800) - 456 - 1590,,Service Provider,Partner,Not Contacted,"23 Jun, 2010 00:00:00",
1598,Rene,Halkias Gear & Machine Works,1003,Lazar Mathew,rene@samplecompany.com,(800) - 456 - 1598,,Pharma,Web Research,Lost Lead,"21 Jun, 2010 00:00:00",
1599,Miguel,Hanson-Whitney Co,1002,Santa Cruz Clara,miguel@samplecompany.com,(800) - 456 - 1599,,Pharma,Sales Mail Alias,Contacted,"21 Jun, 2010 00:00:00",
1600,Marie,Rock Industries Inc,1009,Thomas Mondrake,marie@samplecompany.com,(800) - 456 - 1600,,IT Services,External Referral,Contact in Future,"21 Jun, 2010 00:00:00",
1601,Hari,Victor Equipment Company,1005,Steffi Graf,hari@samplecompany.com,(800) - 456 - 1601,,Service Provider,Trade Show,Contacted,"21 Jun, 2010 00:00:00",
1602,Christina,Metl-Saw Systems,1011,Tina Thomas,christina@samplecompany.com,(800) - 456 - 1602,,Manufacturing,External Referral,Junk Lead,"20 Jun, 2010 00:00:00",
1603,Elizabeth,T & T Dies Inc.,1001,Rozario Diego,elizabeth@samplecompany.com,(800) - 456 - 1603,,Technology,OnlineStore,Attempted to Contact,"20 Jun, 2010 00:00:00",
1604,John,Advanced Web Corp,1008,Roger Terrence,john@samplecompany.com,(800) - 456 - 1604,,Manufacturing,Employee Referral,Pre Qualified,"20 Jun, 2010 00:00:00",
1605,Karin,Chickasaw Machine & Tool Inc,1002,Santa Cruz Clara,karin@samplecompany.com,(800) - 456 - 1605,,Manufacturing,External Referral,Contact in Future,"20 Jun, 2010 00:00:00",
1606,Helvetius,Deringer Manufacturing Co,1005,Steffi Graf,helvetius@samplecompany.com,(800) - 456 - 1606,,IT Services,Trade Show,Lost Lead,"20 Jun, 2010 00:00:00",
1607,Elizabeth,Falcon Forge,1004,Pete Zachriah,elizabeth@samplecompany.com,(800) - 456 - 1607,,Financial Services,Sales Mail Alias,Contacted,"20 Jun, 2010 00:00:00",
1608,Victoria,Gear Co Of America Inc,1009,Thomas Mondrake,victoria@samplecompany.com,(800) - 456 - 1608,,Service Provider,Sales Mail Alias,Not Contacted,"20 Jun, 2010 00:00:00",
1609,Karl,Oliver Gear Inc,1006,Harold Pawlan,karl@samplecompany.com,(800) - 456 - 1609,,Technology,Partner,Pre Qualified,"20 Jun, 2010 00:00:00",
1610,Martyn,Uniflow Corp/Plt 3,1005,Steffi Graf,martyn@samplecompany.com,(800) - 456 - 1610,,Education,Public Relations,Contacted,"20 Jun, 2010 00:00:00",
1611,Simon,Tricon International,1008,Roger Terrence,simon@samplecompany.com,(800) - 456 - 1611,,Consulting,External Referral,Junk Lead,"20 Jun, 2010 00:00:00",
1612,Henriette,Marubeni of America,1006,Harold Pawlan,henriette@samplecompany.com,(800) - 456 - 1612,,Communications,Web Research,Attempted to Contact,"20 Jun, 2010 00:00:00",
1627,Annette,Alcan Building Products,1006,Harold Pawlan,annette@samplecompany.com,(800) - 456 - 1627,,Pharma,Web Research,Pre Qualified,"25 May, 2010 00:00:00",
1628,Georg,Ohio Valley Aluminum Company Inc.,1004,Pete Zachriah,georg@samplecompany.com,(800) - 456 - 1628,,Education,Sales Mail Alias,Contact in Future,"25 May, 2010 00:00:00",
1629,Georg,Northern States Metals,1006,Harold Pawlan,georg@samplecompany.com,(800) - 456 - 1629,,Technology,Employee Referral,Contacted,"25 May, 2010 00:00:00",
1630,Sven,Three Rivers Extrusion Company,1009,Thomas Mondrake,sven@samplecompany.com,(800) - 456 - 1630,,Consulting,Partner,Attempted to Contact,"25 May, 2010 00:00:00",
1631,Catherine,Starnet Corporation,1005,Steffi Graf,catherine@samplecompany.com,(800) - 456 - 1631,,Technology,External Referral,Pre Qualified,"25 May, 2010 00:00:00",
1632,Alejandra,Mac Steel,1004,Pete Zachriah,alejandra@samplecompany.com,(800) - 456 - 1632,,Manufacturing,Cold Call,Contact in Future,"25 May, 2010 00:00:00",
1633,Michael,Blue Falcon Forge,1004,Pete Zachriah,michael@samplecompany.com,(800) - 456 - 1633,,Technology,Employee Referral,Lost Lead,"25 May, 2010 00:00:00",
1634,Bill,Branko Malisa Inc,1008,Roger Terrence,bill@samplecompany.com,(800) - 456 - 1634,,Manufacturing,Cold Call,Contacted,"25 May, 2010 00:00:00",
1635,Fran,Carmona Gear Cutting,1004,Pete Zachriah,fran@samplecompany.com,(800) - 456 - 1635,,IT Services,Web Research,Not Contacted,"25 May, 2010 00:00:00",
1636,Maurizio,Cooper Tools-Cooper Industries,1006,Harold Pawlan,maurizio@samplecompany.com,(800) - 456 - 1636,,Technology,Sales Mail Alias,Pre Qualified,"25 May, 2010 00:00:00",
1637,Janete,D K Associates Specialty Steel,1006,Harold Pawlan,janete@samplecompany.com,(800) - 456 - 1637,,Manufacturing,Cold Call,Contact in Future,"25 May, 2010 00:00:00",
1638,Yoshi,Harder Precision Components,1010,Augustine Paul,yoshi@samplecompany.com,(800) - 456 - 1638,,Pharma,External Referral,Contacted,"25 May, 2010 00:00:00",
1639,Georg,Impact Precision Forge Inc,1010,Augustine Paul,georg@samplecompany.com,(800) - 456 - 1639,,Technology,Partner,Junk Lead,"25 May, 2010 00:00:00",
1640,Palle,Mid-West Spring Manufacturing,1007,David Love,palle@samplecompany.com,(800) - 456 - 1640,,IT Services,Trade Show,Pre Qualified,"25 May, 2010 00:00:00",
1641,Pedro,Outboard Crankshaft Co,1009,Thomas Mondrake,pedro@samplecompany.com,(800) - 456 - 1641,,Government/Military,External Referral,Contact in Future,"25 May, 2010 00:00:00",
1642,Carlos,Rex Forge,1004,Pete Zachriah,carlos@samplecompany.com,(800) - 456 - 1642,,Manufacturing,OnlineStore,Lost Lead,"25 May, 2010 00:00:00",
1643,Helvetius,Sheffield Forgemasters Ltd,1005,Steffi Graf,helvetius@samplecompany.com,(800) - 456 - 1643,,Government/Military,Trade Show,Contacted,"25 May, 2010 00:00:00",
1644,Paolo,Stahl Gear & Machine Co,1003,Lazar Mathew,paolo@samplecompany.com,(800) - 456 - 1644,,Education,Sales Mail Alias,Not Contacted,"25 May, 2010 00:00:00",
1645,Sue,Trinity Forge Inc,1001,Rozario Diego,sue@samplecompany.com,(800) - 456 - 1645,,Manufacturing,Trade Show,Pre Qualified,"25 May, 2010 00:00:00",
1646,Bill,Alcoa Wheels Products,1011,Tina Thomas,bill@samplecompany.com,(800) - 456 - 1646,,Education,Sales Mail Alias,Contact in Future,"25 May, 2010 00:00:00",
1647,Miguel,Clifford-Jacobs Forging Company,1006,Harold Pawlan,miguel@samplecompany.com,(800) - 456 - 1647,,Manufacturing,Cold Call,Contacted,"25 May, 2010 00:00:00",
1648,Jaime,Krupp Gerlach Co./Machining Div.,1004,Pete Zachriah,jaime@samplecompany.com,(800) - 456 - 1648,,Financial Services,Sales Mail Alias,Junk Lead,"25 May, 2010 00:00:00",
1649,Jose,"Lake City Industries, Inc.",1004,Pete Zachriah,jose@samplecompany.com,(800) - 456 - 1649,,Financial Services,Trade Show,Attempted to Contact,"25 May, 2010 00:00:00",
1650,Yoshi,Jaime E. Rubio,1001,Rozario Diego,yoshi@samplecompany.com,(800) - 456 - 1650,,Service Provider,Advertisement,Contact in Future,"25 May, 2010 00:00:00",
1651,Victoria,HEL Inc.,1007,David Love,victoria@samplecompany.com,(800) - 456 - 1651,,Consulting,Employee Referral,Lost Lead,"25 May, 2010 00:00:00",
1652,Christina,Mid America Extrusions Corporation,1002,Santa Cruz Clara,christina@samplecompany.com,(800) - 456 - 1652,,Consulting,Sales Mail Alias,Contacted,"24 May, 2010 00:00:00",
1653,Isabel,National Northeast Corporation,1011,Tina Thomas,isabel@samplecompany.com,(800) - 456 - 1653,,Manufacturing,Advertisement,Not Contacted,"24 May, 2010 00:00:00",
1654,Elizabeth,Niagara Lasalle,1009,Thomas Mondrake,elizabeth@samplecompany.com,(800) - 456 - 1654,,Manufacturing,Public Relations,Pre Qualified,"24 May, 2010 00:00:00",
1655,Aria,Apex Precision Technologies,1003,Lazar Mathew,aria@samplecompany.com,(800) - 456 - 1655,,Financial Services,Employee Referral,Contact in Future,"24 May, 2010 00:00:00",
1656,Thomas,Canton Gear Manufacturing & Designing Co,1002,Santa Cruz Clara,thomas@samplecompany.com,(800) - 456 - 1656,,Education,Advertisement,Contacted,"24 May, 2010 00:00:00",
1657,Bill,Dixie Industries,1009,Thomas Mondrake,bill@samplecompany.com,(800) - 456 - 1657,,IT Services,Web Research,Junk Lead,"24 May, 2010 00:00:00",
1658,Jean,Erlbacher Gear & Machine Works,1010,Augustine Paul,jean@samplecompany.com,(800) - 456 - 1658,,Manufacturing,External Referral,Attempted to Contact,"24 May, 2010 00:00:00",
1659,Maria,Specialty Ring Products Inc,1010,Augustine Paul,maria@samplecompany.com,(800) - 456 - 1659,,IT Services,Advertisement,Pre Qualified,"24 May, 2010 00:00:00",
1687,Pedro,Central Extrusion Die Co.,1006,Harold Pawlan,pedro@samplecompany.com,(800) - 456 - 1687,,Consulting,Web Research,Contact in Future,"22 May, 2010 00:00:00",
1688,Helvetius,Copperweld,1003,Lazar Mathew,helvetius@samplecompany.com,(800) - 456 - 1688,,IT Services,External Referral,Lost Lead,"22 May, 2010 00:00:00",
1689,Paolo,Central States Gear Inc,1008,Roger Terrence,paolo@samplecompany.com,(800) - 456 - 1689,,Manufacturing,OnlineStore,Contacted,"22 May, 2010 00:00:00",
1690,Rita,General Gear Inc,1006,Harold Pawlan,rita@samplecompany.com,(800) - 456 - 1690,,Manufacturing,Sales Mail Alias,Pre Qualified,"22 May, 2010 00:00:00",
1691,Georg,Martin Foundry,1001,Rozario Diego,georg@samplecompany.com,(800) - 456 - 1691,,Pharma,Web Research,Contact in Future,"22 May, 2010 00:00:00",
1692,Ann,Midwest Brass Forging Company,1001,Rozario Diego,ann@samplecompany.com,(800) - 456 - 1692,,Manufacturing,External Referral,Contacted,"22 May, 2010 00:00:00",
1693,Giovanni,Alenco,1002,Santa Cruz Clara,giovanni@samplecompany.com,(800) - 456 - 1693,,Manufacturing,Trade Show,Junk Lead,"13 May, 2010 00:00:00",
1694,Hari,Delta Manufacturing Inc,1004,Pete Zachriah,hari@samplecompany.com,(800) - 456 - 1694,,IT Services,Trade Show,Attempted to Contact,"13 May, 2010 00:00:00",
1695,Howard,"Japan Steel Works America, Inc.",1003,Lazar Mathew,howard@samplecompany.com,(800) - 456 - 1695,,IT Services,External Referral,Pre Qualified,"08 May, 2010 00:00:00",
1696,Lucia,British Consulate,1003,Lazar Mathew,lucia@samplecompany.com,(800) - 456 - 1696,,Technology,External Referral,Contact in Future,"08 May, 2010 00:00:00",
1697,Carine,Pyrotek Inc.,1011,Tina Thomas,carine@samplecompany.com,(800) - 456 - 1697,,Pharma,Advertisement,Lost Lead,"08 May, 2010 00:00:00",
1698,Giovanni,Challenger Engineering Inc,1002,Santa Cruz Clara,giovanni@samplecompany.com,(800) - 456 - 1698,,Government/Military,OnlineStore,Contacted,"08 May, 2010 00:00:00",
1699,Patricio,Designatronics Inc,1006,Harold Pawlan,patricio@samplecompany.com,(800) - 456 - 1699,,Education,Advertisement,Not Contacted,"08 May, 2010 00:00:00",
1700,Philip,Federal Pipe & Supply Co,1003,Lazar Mathew,philip@samplecompany.com,(800) - 456 - 1700,,IT Services,External Referral,Contacted,"08 May, 2010 00:00:00",
1701,Peter,Gear Works Inc,1004,Pete Zachriah,peter@samplecompany.com,(800) - 456 - 1701,,Communications,Employee Referral,Junk Lead,"08 May, 2010 00:00:00",
1702,Jaime,Industrial Sprockets & Gears,1008,Roger Terrence,jaime@samplecompany.com,(800) - 456 - 1702,,Manufacturing,Cold Call,Attempted to Contact,"08 May, 2010 00:00:00",
1703,Anabela,Kropp Forge,1009,Thomas Mondrake,anabela@samplecompany.com,(800) - 456 - 1703,,Communications,Trade Show,Pre Qualified,"08 May, 2010 00:00:00",
1704,Helen,Unit Rail Anchor Co Inc,1002,Santa Cruz Clara,helen@samplecompany.com,(800) - 456 - 1704,,Education,Advertisement,Contact in Future,"08 May, 2010 00:00:00",
1705,Paula,Sundberg-Ferar Inc.,1006,Harold Pawlan,paula@samplecompany.com,(800) - 456 - 1705,,Consulting,Web Research,Lost Lead,"07 May, 2010 00:00:00",
1706,Elizabeth,Batavia Metal Products Corp,1010,Augustine Paul,elizabeth@samplecompany.com,(800) - 456 - 1706,,Consulting,External Referral,Contacted,"07 May, 2010 00:00:00",
1707,John,Solmet Technologies Inc,1002,Santa Cruz Clara,john@samplecompany.com,(800) - 456 - 1707,,Manufacturing,Public Relations,Not Contacted,"07 May, 2010 00:00:00",
1708,Liz,Vaughan & Bushness Mfg. Co.,1008,Roger Terrence,liz@samplecompany.com,(800) - 456 - 1708,,Education,Sales Mail Alias,Pre Qualified,"07 May, 2010 00:00:00",
1710,Victoria,Able Gear & Machine Co,1009,Thomas Mondrake,victoria@samplecompany.com,(800) - 456 - 1710,,Pharma,OnlineStore,Junk Lead,"24 Apr, 2010 00:00:00",
1712,Matti,Mains Equipment Company,1004,Pete Zachriah,matti@samplecompany.com,(800) - 456 - 1712,,IT Services,Cold Call,Pre Qualified,"24 Apr, 2010 00:00:00",
1713,Bob,Penn Aluminum International Inc.,1006,Harold Pawlan,bob@samplecompany.com,(800) - 456 - 1713,,Manufacturing,Public Relations,Contact in Future,"24 Apr, 2010 00:00:00",
